,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
102,635318.0,Czysta,1,26.2,6,6,Do remontu,False,False,1969.0
103,1102730.0,Przyjaźni,4,74.09,1,8,Do remontu,False,False,1969.0
104,500000.0,Skoczna,2,57.64,1,1,Gotowe do wprowadzenia,True,True,1969.0
105,1299990.0,Gajowa,3,59.3,3,4,Gotowe do wprowadzenia,True,True,1969.0
106,598791.0,Kominiarska,3,60.18,0,2,Do odświeżenia,True,True,1969.0
107,693990.0,Ibn Siny Awicenny,3,62.8,1,3,Do remontu,False,False,1969.0
108,808997.0,Kossaka,3,63.76,5,5,Do remontu,True,False,1969.0
109,886280.0,Czysta,2,38.55,6,6,Do remontu,False,False,1969.0
110,751581.0,Jarosława Iwaszkiewicza,3,67.71,0,2,Do odświeżenia,True,True,1969.0
111,768997.0,Kossaka,3,60.3,0,5,Do remontu,True,False,1969.0
112,659760.0,Królewiecka,3,54.98,0,2,Do remontu,False,False,1969.0
113,975720.0,Kominiarska,5,103.8,0,1,Do remontu,False,False,1969.0
114,720000.0,Orzechowa,3,66.7,6,10,Do remontu,True,False,1969.0
115,544564.0,Zamkowa,1,27.1,2,6,Do remontu,True,False,1969.0
116,480000.0,Kazimierza Michalczyka,1,28.56,5,6,Do odświeżenia,True,True,1969.0
117,655330.0,Blizanowicka,3,59.7,0,2,Do odświeżenia,True,True,1969.0
118,419000.0,Wielka 29,1,43.15,4,5,Do remontu,False,False,1969.0
119,669000.0,Odolanowska,3,64.0,3,4,Do remontu,True,True,1969.0
120,649000.0,Odolanowska,3,51.5,2,4,Do remontu,True,True,1969.0
121,775760.0,Blizanowicka,4,59.8,2,2,Do odświeżenia,True,True,1969.0
122,399059.0,Gajowa,2,34.71,0,2,Do remontu,True,True,1969.0
123,602000.0,Rudzka,2,51.0,4,4,Gotowe do wprowadzenia,False,False,1969.0
124,669000.0,Na Grobli,2,43.0,2,3,Gotowe do wprowadzenia,True,False,1969.0
125,999540.0,Blizanowicka,5,84.7,1,2,Do odświeżenia,True,True,1969.0
126,590458.0,Blizanowicka,2,48.3,0,2,Do odświeżenia,True,True,1969.0
127,2343480.0,Zamkowa,3,79.44,3,3,Gotowe do wprowadzenia,True,True,1969.0
128,619000.0,Więzienna,2,34.67,5,5,Do remontu,False,False,1969.0
129,816912.0,Zamkowa,2,44.64,1,24,Do odświeżenia,False,True,1969.0
130,4919173.39,Zamkowa,4,153.27,5,5,Do odświeżenia,True,True,1969.0
131,1199999.0,Zwycięska,3,101.8,1,2,Gotowe do wprowadzenia,True,True,1969.0
132,694999.0,Zamkowa,3,64.0,2,3,Do remontu,True,False,1969.0
133,452140.0,Zielna,2,34.78,4,4,Do odświeżenia,True,True,1969.0
134,815997.0,Zamkowa,2,44.59,2,24,Do odświeżenia,False,True,1969.0
135,580840.0,Zielna,3,44.68,3,4,Do odświeżenia,True,True,1969.0
