cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
898240.0,Gajowa,4,80.2,3.0,7.0,Do remontu,True,False,2025
809000.0,Gnieźnieńska,3,55.96,4.0,4.0,Do remontu,True,False,2023
868560.0,Gajowa,3,72.38,6.0,7.0,Do remontu,True,False,2025
809000.0,Gnieźnieńska,3,55.96,4.0,4.0,Do remontu,True,False,2023
0.0,Gajowa,1,73.1,3.0,3.0,Do remontu,False,False,2025
0.0,Kossaka,1,31.48,3.0,6.0,Do remontu,False,False,2024
890000.0,pl. Dominikański,3,73.5,3.0,3.0,Do remontu,True,False,2002
884000.0,Zamkowa,3,64.22,2.0,9.0,Do remontu,True,False,2022
870000.0,Rymarska,4,67.5,3.0,4.0,Do remontu,True,False,2013
844118.0,Gajowa,3,69.19,7.0,7.0,Do remontu,True,False,2025
810000.0,Młynarska 14,3,54.5,4.0,4.0,Do remontu,True,False,2018
990000.0,Młynarska 14,2,54.0,4.0,4.0,Do remontu,False,False,2023
923280.0,Zamkowa,1,38.47,2.0,5.0,Do remontu,True,False,2024
861203.0,Gajowa,3,72.37,5.0,7.0,Do remontu,True,False,2025
837000.0,Zielna,3,54.0,2.0,3.0,Do remontu,True,False,2018
909476.0,Gajowa,4,80.13,4.0,7.0,Do remontu,True,False,2025
860000.0,Gajowa,2,65.12,1.0,2.0,Do remontu,True,False,1935
980000.0,Kossaka,2,51.8,6.0,6.0,Do remontu,True,False,2014
950000.0,Gajowa,4,96.3,4.0,4.0,Do remontu,False,False,2024
813000.0,pl. Dominikański,3,71.0,4.0,4.0,Do remontu,True,False,2023
917031.0,Gajowa,4,80.09,6.0,7.0,Do remontu,True,False,2025
913254.0,Gajowa,4,80.11,5.0,7.0,Do remontu,True,False,2025
837000.0,Psie Pole Swojczyce,3,54.0,2.0,3.0,Do remontu,True,False,2018
938963.0,Gajowa,4,76.65,7.0,7.0,Do remontu,True,False,2025
0.0,Gajowa,1,69.1,3.0,3.0,Do remontu,False,False,2025
998976.0,Gajowa,4,82.56,6.0,7.0,Do remontu,True,False,2025
1125000.0,Gajowa,4,130.68,1.0,1.0,Do remontu,True,False,2024
1140000.0,Muchobór Wielki,4,88.2,4.0,4.0,Do remontu,True,False,2019
1069000.0,Zamkowa,4,76.57,5.0,9.0,Do remontu,True,False,2022
1056570.0,Grabiszyn-Grabiszynek,3,85.9,3.0,3.0,Do remontu,False,False,2024
0.0,Ruczajowa,3,53.51,4.0,4.0,Do remontu,True,False,2024
0.0,Gajowa,3,95.56,3.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,1,91.33,3.0,3.0,Do remontu,False,False,2025
1118725.0,Gajowa,4,72.35,8.0,8.0,Do remontu,True,False,2026
605000.0,Rudzka,2,43.0,4.0,4.0,Do remontu,True,False,2015
549000.0,Krzyki Huby,1,42.65,5.0,5.0,Do remontu,False,False,1969
502252.0,Gajowa,3,50.99,1.0,2.0,Do remontu,True,False,2025
558000.0,Rudzka,3,48.6,8.0,15.0,Do remontu,True,False,1973
0.0,Gajowa,3,61.23,4.0,4.0,Do remontu,True,False,2025
559000.0,Jesionowa,2,40.6,2.0,6.0,Do remontu,False,False,2015
