,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
787,598492.0,Zielna,3,60.15,1,2,Do odświeżenia,True,True,1969
788,650000.0,Rudzka,2,54.0,4,4,Do remontu,True,False,1969
789,535000.0,Zamkowa,2,45.0,3,3,Do remontu,False,False,1969
790,539000.0,Woskowa,3,52.7,0,0,Do remontu,True,True,1969
791,669000.0,Gajowa,3,48.79,4,4,Gotowe do wprowadzenia,True,True,1969
792,469000.0,Ignacego Mościckiego,3,58.2,1,1,Do remontu,True,True,1969
797,269000.0,Kossaka,1,18.0,0,4,Gotowe do wprowadzenia,False,False,1969
800,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969
801,1057875.0,Przyjaźni,4,65.2,8,8,Do remontu,True,True,1969
802,551900.0,Zielna,3,51.63,2,2,Do odświeżenia,True,True,1969
806,453000.0,Woskowa,3,45.91,1,1,Do remontu,True,True,1969
807,574901.0,Przyjaźni,2,33.13,7,8,Do remontu,True,True,1969
808,329000.0,Ignacego Mościckiego,2,36.5,1,1,Do remontu,True,True,1969
812,610000.0,Woskowa,4,60.25,0,0,Do remontu,True,True,1969
813,1046000.0,Zamkowa,4,77.0,5,9,Do odświeżenia,True,True,1969
814,688900.0,Rudzka,3,60.0,1,4,Do odświeżenia,True,True,1969
815,995000.0,Wita Stwosza,2,58.8,1,4,Do remontu,True,False,1969
819,488400.0,Woskowa,3,49.1,1,1,Do remontu,True,True,1969
820,639300.0,Zielna,3,58.0,0,2,Do odświeżenia,True,True,1969
821,1199000.0,Rychtalska,3,73.2,4,5,Gotowe do wprowadzenia,True,True,1969
822,870000.0,Księska,4,68.0,0,2,Do remontu,True,True,1969
823,1025000.0,Gajowa,5,118.0,1,2,Do odświeżenia,True,True,1969
824,638412.0,Konińska,3,52.91,0,4,Do odświeżenia,True,True,1969
825,720000.0,Zielna,2,48.4,4,4,Do remontu,False,False,1969
826,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969
828,1099000.0,Długa,3,56.5,7,9,Do remontu,True,True,1969
829,649000.0,Zamkowa,3,55.0,3,3,Gotowe do wprowadzenia,True,True,1969
831,859000.0,Zielna,4,77.5,0,4,Do odświeżenia,True,False,1969
832,849000.0,Długa,3,61.0,0,9,Do remontu,True,True,1969
834,836600.0,Zielna,4,74.5,2,4,Do odświeżenia,True,False,1969
836,439999.0,Zamkowa,1,34.0,2,7,Do remontu,False,False,1969
838,1082000.0,Zamkowa,4,79.0,6,7,Do odświeżenia,True,True,1969
839,680000.0,Rymarska,3,52.0,3,4,Do remontu,True,True,1969
840,598000.0,Trzebnicka,3,52.0,4,4,Gotowe do wprowadzenia,False,False,1969
841,489000.0,Woskowa,3,49.7,1,1,Do remontu,True,True,1969
842,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969
844,610394.0,Konińska,2,49.94,0,4,Do odświeżenia,True,True,1969
846,969000.0,Długa,4,71.0,1,9,Do remontu,True,True,1969
847,599000.0,Kossaka,2,50.0,4,4,Gotowe do wprowadzenia,False,True,1969
849,740784.0,Konińska,3,64.5,2,4,Do odświeżenia,True,True,1969
850,1395000.0,Na Polance,4,74.0,3,7,Gotowe do wprowadzenia,False,True,1969
